School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
Breens Intermediate,Primary,Intermediate,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Bridge Pa School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Brightwater School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Broad Bay School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Broadfield School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Broadgreen Intermediate,Primary,Intermediate,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Nelson,Nelson
Broadlands School,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Rotorua
Broadwood Area School,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Brockville School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Bromley School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Brookby School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Brookfield School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Brooklyn School (Motueka),Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Brooklyn School (Wellington),Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Broomfield School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Hurunui
Browns Bay School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Hibiscus and Bays
Bruce McLaren Intermediate,Primary,Intermediate,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Brunswick School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Buckland School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Bucklands Beach Intermediate,Primary,Intermediate,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Bucklands Beach Primary School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Buller High School,Secondary,Secondary (Year 9-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Buller
Bulls School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Rangitikei
Bunnythorpe School,Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Burnham School - Te Kura o Tiori,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Burnside High School,Secondary,Secondary (Year 9-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Burnside Primary School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Camberley School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Cambridge East School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Cambridge High School,Secondary,Secondary (Year 9-15),State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Cambridge Middle School,Composite,Restricted Composite (Year 7-10),State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Restricted Composite (Year 7-10),Not a Kura School,Waikato,Waipa
Cambridge School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Campbells Bay School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Campion College,Secondary,Secondary (Year 7-15),State: Integrated,6,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Gisborne,Gisborne
Cannington School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Mackenzie
Cannons Creek School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Porirua
Canvastown School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Marlborough,Marlborough
Cardinal McKeefry School (Wilton),Primary,Full Primary,State: Integrated,10,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Wellington
Carew Peel Forest School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Carey College,Composite,Composite (Year 1-15),Private: Fully Reg.,NA,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Auckland,Auckland: Maungakiekie-Tamaki
Cargill Open Plan School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,South Waikato
Carisbrook School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Dunedin
Carlton School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Carmel College,Secondary,Secondary (Year 7-15),State: Integrated,9,Single Sex-Girls,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Devonport-Takapuna
Carncot Independent School,Primary,Full Primary,Private: Fully Reg.,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Carterton School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Carterton
Casebrook Intermediate,Primary,Intermediate,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Cashmere Avenue School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Cashmere High School,Secondary,Secondary (Year 9-15),State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Cashmere Primary Te Pae Kereru,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Castlecliff School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Catholic Cathedral College,Secondary,Secondary (Year 7-15),State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Christchurch
Centennial Park School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waitomo
Central Auckland Specialist School,Special,Special School,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Puketapapa
Central Hawkes Bay College,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Central Hawke's Bay
Central Normal School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Normal School (Model Classes),Not a Kura School,Manawatu-Whanganui,Palmerston North
Central Regional Health School,Special,Special School,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Regional Health School,Not a Kura School,Wellington,Wellington
Central School Te Kura Waenga O Ngamotu,Primary,Contributing,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Central Southland College,Secondary,Secondary (Year 9-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Central Takaka School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Tasman,Tasman
Chanel College,Secondary,Secondary (Year 7-15),State: Integrated,5,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Masterton
Chapel Downs School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
Chaucer School,Primary,Contributing,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Whau
Chelsea School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Kaipatiki
Chertsey School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Ashburton
Cheviot Area School,Composite,Composite (Year 1-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Hurunui
Chilton Saint James School,Composite,Composite (Year 1-15),Private: Fully Reg.,10,Single Sex-Girls,Religious Affiliation,Anglican,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Chisnallwood Intermediate,Primary,Intermediate,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Christ the King Catholic School (Owairaka),Primary,Full Primary,State: Integrated,3,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Puketapapa
Christ The King School (Burnside),Primary,Full Primary,State: Integrated,8,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Christchurch
Christ's College,Secondary,Secondary (Year 9-15),Private: Fully Reg.,10,Single Sex-Boys,Religious Affiliation,Anglican,School with Boarding Facilities,Not a Kura School,Canterbury,Christchurch
Christchurch Adventist School,Composite,Composite (Year 1-15),State: Integrated,5,Co-Ed,Religious Affiliation,Seventh Day Adventist,Not Applicable,Not a Kura School,Canterbury,Christchurch
Christchurch Boys' High School,Secondary,Secondary (Year 9-15),State: Not integrated,10,Single Sex-Boys,No Affiliation,Not Applicable,School with Boarding Facilities,Not a Kura School,Canterbury,Christchurch
Christchurch East School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Christchurch Girls' High School -Te Kura o Hine Waiora,Secondary,Secondary (Year 9-15),State: Not integrated,9,Single Sex-Girls,No Affiliation,Not Applicable,School with Boarding Facilities,Not a Kura School,Canterbury,Christchurch
Christchurch South Intermediate,Primary,Intermediate,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Christian Renewal School,Composite,Composite (Year 1-15),State: Integrated,4,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Not a Kura School,Northland,Whangarei
Churchill Park School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
Churton Park School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Churton School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
City Impact Church School,Primary,Full Primary,Private: Fully Reg.,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
City Impact Church School (Secondary),Secondary,Secondary (Year 9-15),Private: Fully Reg.,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Upper Harbour
Clarkville School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Waimakariri
Clayton Park School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Clearview Primary,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Selwyn
Clendon Park School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual Year 7-8 School,Not a Kura School,Auckland,Auckland: Manurewa
Clendon Teen Parent Unit,Secondary,Teen Parent Unit,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Clevedon School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Clifton School (Bulls),Primary,Full Primary,State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Rangitikei
Clifton Terrace Model School,Primary,Full Primary,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Model School,Not a Kura School,Wellington,Wellington
Clifton Terrace School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Nelson,Nelson
Clinton School,Primary,Full Primary,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Clive School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Hastings
Cloverlea School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Palmerston North
Clutha Valley School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Clutha
Clyde Quay School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Clyde School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Otago,Central Otago
Coastal Taranaki School,Composite,Composite (Year 1-15),State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,New Plymouth
Coatesville School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Rodney
Cobden School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,West Coast,Grey
Cobham Intermediate,Primary,Intermediate,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Cobham School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Cockle Bay School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Howick
